ID,NEXT,MPHON,FEAT,BASEF,FLAG
lä-hte/v,v0123,h{td}{eiØ},,,
,v12,ks,,,
,"! V23 KÄYDÄ",,,,
kä-y/v,v03,y,,,
,v12,v,,,
,"! V30 HARAVOIDA",,,,
haravo-i/v,v0123,{iØ},,,
,v012,its{eØ},,,
,v3,i{nt},,,
,"! V31 VALITA",,,,
vali-tse/v,v012,ts{eØ},,,
,v2,tse,,,
,v3,{nt},,,
,"! V32 JUOSTA",,,,
juo-kse/v,v012,ks{eØ},,,
,v3,s,,,
,"! V33 NÄHDÄ",,,,
nä-ke/v,v012,k{eØ},,,
,v3,h,,,
,"! V34 ALETA",,,,
ale-ne/v,v012,n{eØ},,,
,v3,{nt},,,
,"! V35 SALATA",,,,
sala-V/v,v02,{VØ},,,
,v1,s,,,
,v3,{nt},,,
,"! KATKETA",,,,
katke-A/v,v02,{aä},,,
,v02,{VØ},,,
,v1,s,,,
,v3,{nt},,,
,"! SELVITÄ",,,,
selvi-A/v,v02,{aä},,,
,v02,{VØ},,,
,v1,s,,,
,v3,{nt},,,
,"! V38 KOHOTA",,,,
koho-A/v,v02,{aä},,,
,v02,{VØ},,,
,v1,s,,,
,v3,{nt},,,
,"! V39 HALUTA",,,,
halu-A/v,v02,{aä},,,
,v1,s,,,
,v3,{nt},,,
,"! PALATA",,,,
pala-V/v,v02,{VØ},,,
,v1,s,,,
,v3,{nt},,,
,v02,j{aä},,,
,"! V41 KIHISTÄ",,,,
kih-ise/v,v012,is{eØ},,,
,v3,is,,,
,v012,aj{aØ},,,
öl-ise/v,v012,is{eØ},,,
,v3,is,,,
,v012,äj{äØ},,,
,"! 42 RAKENTAA",,,,
rake-ntA/v,"v0 v2 v3",n{tn}{aäeØ},,,
,v1,ns,,,
,v3,{nt},,,
,,,,,
neg4pe,"neg 4pe",,,,
neg,!!Clit,{C},NEG,,
4pe,Clit,{V}n,4PE,,
Person,Clit,n,1SG,,
,!!Clit,t,2SG,,
,Clit,{VØ},3SG,,
,!!Clit,mme,1PL,,
,!!Clit,tte,2PL,,
,Clit,v{aä}t,3PL,,
,,,,,
,,,,,
End,WCL,,,,
End,!WCL,§,,§,
